Español,Frequency,English,Points,Attempts,Successes,Misses
puedo,I can,806048,13,0,0,0
ella,she,800671,13,0,0,0
quiero,wanna,798831,13,0,0,0
hacer,do,794408,13,0,0,0
fue,was,781449,13,0,0,0
gracias,thank you,779503,13,0,0,0
vez,time,767227,14,0,0,0
era,was,765725,14,0,0,0
soy,am,745166,14,0,0,0
sólo,only,741588,14,0,0,0
todos,all,686692,15,0,0,0
porque,because,685059,15,0,0,0
son,are,671394,15,0,0,0
tienes,have,670767,15,0,0,0
creo,believe,651433,16,0,0,0
voy,go,639418,16,0,0,0
sabes,You know,636739,16,0,0,0
estaba,was,636659,16,0,0,0
puede,can,631326,16,0,0,0
eres,are,630024,16,0,0,0
ese,that,624205,17,0,0,0
usted,you,618844,17,0,0,0
entonces,so,609938,17,0,0,0
hola,hello,601523,17,0,0,0
solo,only,590343,17,0,0,0
verdad,TRUE,589565,17,0,0,0
casa,home,587832,18,0,0,0
tan,so,573916,18,0,0,0
quién,who,566465,18,0,0,0
sus,their,562087,18,0,0,0
tiempo,time,556996,18,0,0,0
dos,two,556427,18,0,0,0
esa,that,553442,19,0,0,0
nunca,never,549997,19,0,0,0
dónde,where,539643,19,0,0,0
va,goes,535397,19,0,0,0
oh,Oh,532776,19,0,0,0
favor,favor,527629,19,0,0,0
mucho,a lot,516361,20,0,0,0
mí,my,515655,20,0,0,0
quieres,want,515465,20,0,0,0
siento,I feel,512907,20,0,0,0
señor,Sir,507728,20,0,0,0
mejor,better,500478,20,0,0,0
hace,does,495352,21,0,0,0
has,you have,492533,21,0,0,0
decir,say,492098,21,0,0,0
también,also,488057,21,0,0,0
sobre,about,478020,21,0,0,0
dios,God,476939,21,0,0,0
sin,without,474770,22,0,0,0
tenemos,have,473895,22,0,0,0
están,are,471887,22,0,0,0
ti,you,470358,22,0,0,0
puedes,can,463318,22,0,0,0
ver,see,462775,22,0,0,0
hombre,man,460084,22,0,0,0
vida,life,453649,23,0,0,0
alguien,someone,447141,23,0,0,0
cosas,things,424801,24,0,0,0
siempre,always,424363,24,0,0,0
hasta,until,423321,24,0,0,0
ahí,there,422871,24,0,0,0
ir,go,411198,25,0,0,0
años,years,408547,25,0,0,0
antes,before,405555,25,0,0,0
estar,be,402369,25,0,0,0
ni,neither,401980,25,0,0,0
poco,bit,397739,26,0,0,0
día,day,395131,26,0,0,0
uno,one,393047,26,0,0,0
noche,evening,391078,26,0,0,0
hecho,made,391011,26,0,0,0
mis,my,385798,26,0,0,0
estamos,we are,376563,27,0,0,0
otra,other,368984,28,0,0,0
acuerdo,agreement,367329,28,0,0,0
trabajo,job,363747,28,0,0,0
nosotros,us,357836,28,0,0,0
parece,seems,355615,29,0,0,0
gente,people,354586,29,0,0,0
sea,be,352790,29,0,0,0
padre,father,351051,29,0,0,0
mira,look,349779,29,0,0,0
mismo,same,347834,29,0,0,0
dijo,said,342900,30,0,0,0
nadie,nobody,339772,30,0,0,0
quiere,wants,332148,31,0,0,0
podría,could,329332,31,0,0,0
hablar,talk,327201,31,0,0,0
vas,you go,327127,31,0,0,0
ellos,they,323892,31,0,0,0
sr.,Mr.,321637,32,0,0,0
tal,such,317926,32,0,0,0
pasa,happens,315529,32,0,0,0
fuera,out,311571,33,0,0,0
después,after,311500,33,0,0,0
han,they have,308501,33,0,0,0
desde,from,303620,33,0,0,0
dinero,money,300518,34,0,0,0
mundo,world,298208,34,0,0,0
claro,clear,296584,34,0,0,0
momento,moment,294559,34,0,0,0
les,them,294439,34,0,0,0
tener,have,292932,35,0,0,0
estado,state,292015,35,0,0,0
otro,other,290565,35,0,0,0
había,there was,289157,35,0,0,0
mañana,tomorrow,283391,36,0,0,0
tenía,had,282966,36,0,0,0
madre,mother,281646,36,0,0,0
vale,OK,280447,36,0,0,0
lugar,place,280315,36,0,0,0
haciendo,doing,278317,36,0,0,0
donde,where,277524,37,0,0,0
seguro,sure,277231,37,0,0,0
sabe,knows,273895,37,0,0,0
podemos,can,272425,37,0,0,0
tus,your,271677,37,0,0,0
espera,wait,270741,37,0,0,0
nuevo,new,269895,38,0,0,0
sido,been,269505,38,0,0,0
cosa,stuff,269054,38,0,0,0
hijo,son,267856,38,0,0,0
allí,over there,267215,38,0,0,0
menos,less,263837,38,0,0,0
tipo,guy,262340,39,0,0,0
amigo,friend,258356,39,0,0,0
gran,great,257648,39,0,0,0
nuestro,our,254046,40,0,0,0
mujer,women,249627,41,0,0,0
mamá,mother,247700,41,0,0,0
luego,then,245811,41,0,0,0
papá,dad,243251,42,0,0,0
días,days,243003,42,0,0,0
dice,says,240795,42,0,0,0
hoy,today,240395,42,0,0,0
tres,three,239782,42,0,0,0
buena,good,238330,42,0,0,0
necesito,need,237654,43,0,0,0
dije,said,235936,43,0,0,0
oye,hey,234324,43,0,0,0
gusta,like,233367,43,0,0,0
quería,wanted to,230602,44,0,0,0
será,be,230159,44,0,0,0
haber,to have,229602,44,0,0,0
parte,part,229038,44,0,0,0
todas,all,227146,45,0,0,0
crees,You believe,225748,45,0,0,0
buen,good,224802,45,0,0,0
conmigo,with me,224527,45,0,0,0
nombre,name,222406,45,0,0,0
mierda,shit,221567,46,0,0,0
nuestra,our,221503,46,0,0,0
mal,evil,220024,46,0,0,0
debe,has to,218223,46,0,0,0
realmente,really,217847,46,0,0,0
estas,are,216844,47,0,0,0
aún,still,215129,47,0,0,0
mío,mine,212096,48,0,0,0
toda,all,211746,48,0,0,0
hacerlo,do it,209901,48,0,0,0
cada,each,209674,48,0,0,0
visto,seen,206949,49,0,0,0
importa,It matters,203118,50,0,0,0
contigo,with you,202208,50,0,0,0
tienen,have,200708,50,0,0,0
hemos,we have,200028,50,0,0,0
razón,reason,198832,51,0,0,0
alguna,some,198263,51,0,0,0
tanto,so much,197519,51,0,0,0
saber,know,196610,51,0,0,0
hizo,did,196192,51,0,0,0
veces,times,195756,52,0,0,0
serio,Serious,194846,52,0,0,0
ven,come,193452,52,0,0,0
idea,idea,193369,52,0,0,0
eh,Hey,193299,52,0,0,0
tarde,late,191883,53,0,0,0
problema,problem,189963,53,0,0,0
hora,hour,189851,53,0,0,0
cierto,TRUE,189653,53,0,0,0
dicho,saying,187895,54,0,0,0
quien,who,187133,54,0,0,0
demasiado,too much,182668,55,0,0,0
amor,love,182326,55,0,0,0
entre,between,181114,56,0,0,0
ve,go,179427,56,0,0,0
pasado,past,178763,56,0,0,0
familia,family,177748,57,0,0,0
estos,these,176532,57,0,0,0
policía,police,175471,57,0,0,0
debería,ought,175394,58,0,0,0
ustedes,you,174241,58,0,0,0
chica,girl,173210,58,0,0,0
esos,those,171237,59,0,0,0
chicos,guys,170008,59,0,0,0
cuenta,account,169714,59,0,0,0
haces,you do,166985,60,0,0,0
todavía,still,166624,61,0,0,0
salir,go out,165591,61,0,0,0
algún,some,163790,62,0,0,0
vaya,Oh,162833,62,0,0,0
unos,some,162525,62,0,0,0
veo,I see,162326,62,0,0,0
amigos,friends,160684,63,0,0,0
hermano,brother,159678,63,0,0,0
pensé,I thought,159438,63,0,0,0
sabía,knew,156439,64,0,0,0
cabeza,head,156069,65,0,0,0
ah,Ah,156002,65,0,0,0
cariño,dear,153353,66,0,0,0
digo,say,153149,66,0,0,0
van,go,153024,66,0,0,0
hombres,men,151647,66,0,0,0
buenas,hello good,151571,66,0,0,0
somos,are,151256,67,0,0,0
cualquier,any,150946,67,0,0,0
forma,shape,150750,67,0,0,0
mientras,while,150383,67,0,0,0
lado,side,149162,68,0,0,0
debo,I must,148975,68,0,0,0
sería,I would be,148309,68,0,0,0
caso,case,148273,68,0,0,0
pueden,they can,148183,68,0,0,0
pasó,passed,145810,69,0,0,0
primera,first,145110,69,0,0,0
genial,brilliant,145028,69,0,0,0
chico,boy,145009,69,0,0,0
supuesto,supposed,144428,70,0,0,0
hice,I did,144174,70,0,0,0
pues,well,143870,70,0,0,0
adiós,bye,143677,70,0,0,0
muchas,many,143007,70,0,0,0
personas,people,141945,71,0,0,0
señora,lady,141893,71,0,0,0
volver,return,141009,71,0,0,0
esas,those,140885,71,0,0,0
quizá,Maybe,140794,72,0,0,0
contra,against,140485,72,0,0,0
camino,path,140092,72,0,0,0
durante,during,139987,72,0,0,0
hablando,talking,139007,72,0,0,0
manera,manner,137722,73,0,0,0
muerto,dead,137301,73,0,0,0
persona,person,136985,74,0,0,0
rápido,fast,136953,74,0,0,0
cuál,which,136406,74,0,0,0
ayuda,aid,136155,74,0,0,0
historia,history,135924,74,0,0,0
iba,I was going,135256,74,0,0,0
supongo,i guess,134885,75,0,0,0
nueva,new,134490,75,0,0,0
entiendo,I understand,134138,75,0,0,0
dentro,inside,133954,75,0,0,0
casi,almost,133614,75,0,0,0
puerta,door,133533,75,0,0,0
ves,you see,133094,76,0,0,0
pasar,pass,131693,76,0,0,0
primero,first,131298,77,0,0,0
significa,means,130774,77,0,0,0
semana,week,130555,77,0,0,0
hacia,toward,130000,77,0,0,0
quizás,maybe,129544,78,0,0,0
espero,wait,129454,78,0,0,0
juntos,together,129353,78,0,0,0
año,year,128910,78,0,0,0
niños,children,128856,78,0,0,0
pronto,soon,128135,79,0,0,0
tío,uncle,127895,79,0,0,0
suerte,luck,127246,79,0,0,0
ciudad,city,126710,79,0,0,0
siquiera,even,126506,80,0,0,0
feliz,happy,125692,80,0,0,0
venir,come,124376,81,0,0,0
hija,daughter,124289,81,0,0,0
gustaría,would like,124196,81,0,0,0
minutos,minutes,123912,81,0,0,0
cuánto,how much,123138,82,0,0,0
os,you,122754,82,0,0,0
hey,Hey,122432,82,0,0,0
muerte,death,122057,82,0,0,0
dejar,leave,121779,83,0,0,0
realidad,reality,121027,83,0,0,0
deja,leaves,120259,84,0,0,0
problemas,issues,120138,84,0,0,0
vi,saw,119856,84,0,0,0
da,gives,119199,84,0,0,0
importante,important,119177,84,0,0,0
dijiste,said,119038,85,0,0,0
corazón,heart,118685,85,0,0,0
miedo,fear,118624,85,0,0,0
jefe,boss,118458,85,0,0,0
agua,water,117654,85,0,0,0
haré,I will do,117579,86,0,0,0
justo,fair,117044,86,0,0,0
horas,hours,116873,86,0,0,0
poder,can,115246,87,0,0,0
buenos,good,115064,87,0,0,0
esposa,wife,114925,88,0,0,0
manos,hands,114921,88,0,0,0
debes,you must,114812,88,0,0,0
viene,comes,114395,88,0,0,0
venga,come on,114109,88,0,0,0
nuestros,our,114018,88,0,0,0
ojos,eyes,113772,88,0,0,0
adelante,forward,113192,89,0,0,0
encontrar,find,113028,89,0,0,0
mano,hand,112665,89,0,0,0
cinco,five,112532,89,0,0,0
niño,child,112512,89,0,0,0
ninguna,none,112227,90,0,0,0
otros,others,112169,90,0,0,0
cara,expensive,111953,90,0,0,0
cuidado,careful,111524,90,0,0,0
bajo,low,111241,90,0,0,0
cerca,near,110690,91,0,0,0
viejo,old,110403,91,0,0,0
déjame,let me,109679,92,0,0,0
noches,nights,109592,92,0,0,0
bastante,quite,109431,92,0,0,0
fin,end,109402,92,0,0,0
tomar,take,109183,92,0,0,0
único,only,108435,93,0,0,0
misma,same,108033,93,0,0,0
escucha,listen,107286,94,0,0,0
ningún,none,107193,94,0,0,0
suficiente,enough,107106,94,0,0,0
punto,spot,106940,94,0,0,0
cuándo,when,106920,94,0,0,0
sigue,go on,106764,94,0,0,0
haya,is,106729,94,0,0,0
equipo,equipment,106584,94,0,0,0
grande,big,106057,95,0,0,0
necesita,needs,105889,95,0,0,0
llegar,arrive,105719,95,0,0,0
incluso,even,105304,95,0,0,0
algunos,some,105052,96,0,0,0
doctor,doctor,104991,96,0,0,0
difícil,difficult,104985,96,0,0,0
aunque,although,104655,96,0,0,0
hubiera,had,104473,96,0,0,0
primer,first,104138,97,0,0,0
coche,car,103946,97,0,0,0
hago,do,103901,97,0,0,0
clase,class,103827,97,0,0,0
cuatro,four,103805,97,0,0,0
mas,further,103445,97,0,0,0
dices,You say,103279,97,0,0,0
pequeño,little,103016,98,0,0,0
llama,calls,102848,98,0,0,0
toma,take,102733,98,0,0,0
hiciste,did,102722,98,0,0,0
allá,there,102642,98,0,0,0
última,last,102333,98,0,0,0
arriba,above,102254,98,0,0,0
tierra,land,102197,98,0,0,0
guerra,war,101887,99,0,0,0
pensar,think,101695,99,0,0,0
pueda,I can,101487,99,0,0,0
igual,equal,101272,99,0,0,0
loco,crazy,100021,100,0,0,0
sangre,blood,99844,101,0,0,0
mujeres,women,99536,101,0,0,0
vuelta,lap,99529,101,0,0,0
fui,I was,99366,101,0,0,0
trabajar,work,99262,101,0,0,0
tenido,had,99237,101,0,0,0
juego,game,99041,101,0,0,0
deberías,you should,98960,102,0,0,0
cuerpo,body,98410,102,0,0,0
e,and,96622,104,0,0,0
algunas,some,96075,105,0,0,0
entrar,get in,95899,105,0,0,0
cree,Believe,95859,105,0,0,0
podía,could,95527,105,0,0,0
debemos,must,95445,105,0,0,0
oportunidad,chance,95375,105,0,0,0
teléfono,phone,95015,106,0,0,0
necesitamos,need,94964,106,0,0,0
final,final,94883,106,0,0,0
listo,ready,94769,106,0,0,0
fiesta,party,94739,106,0,0,0
muchos,many,94250,107,0,0,0
estabas,You were,94097,107,0,0,0
quieren,They want,94018,107,0,0,0
vete,go away,93782,107,0,0,0
auto,car,93654,107,0,0,0
dar,give,92706,108,0,0,0
vivir,live,92629,108,0,0,0
posible,possible,92449,109,0,0,0
ok,okay,92398,109,0,0,0
hermana,sister,92291,109,0,0,0
número,number,92183,109,0,0,0
meses,months,92062,109,0,0,0
exactamente,exactly,91598,110,0,0,0
culpa,blame,91506,110,0,0,0
abajo,below,91298,110,0,0,0
escuela,school,90725,111,0,0,0
ido,gone,90670,111,0,0,0
fuerte,strong,90226,111,0,0,0
diciendo,saying,90048,112,0,0,0
habla,speaks,90023,112,0,0,0
esté,this,89826,112,0,0,0
ello,it,89741,112,0,0,0
pregunta,ask,89617,112,0,0,0
chicas,girls,89467,112,0,0,0
eran,were,89418,112,0,0,0
unas,nails,89043,113,0,0,0
pasando,going,88887,113,0,0,0
atrás,back,88877,113,0,0,0
malo,bad,88555,113,0,0,0
capitán,captain,88550,113,0,0,0
sra.,mrs,88400,114,0,0,0
bebé,baby,88307,114,0,0,0
segundo,second,88232,114,0,0,0
sabemos,we know,87714,115,0,0,0
mayor,elderly,87707,115,0,0,0
comida,meal,87661,115,0,0,0
morir,die,87614,115,0,0,0
conozco,know,87429,115,0,0,0
dame,give to me,87200,115,0,0,0
fácil,easy,87099,115,0,0,0
comer,eat,86671,116,0,0,0
vino,came,86406,116,0,0,0
lista,list,86033,117,0,0,0
haga,make,85884,117,0,0,0
necesitas,you need,85706,117,0,0,0
hijos,children,85020,118,0,0,0
probablemente,probably,84911,118,0,0,0
padres,parents,84855,118,0,0,0
habitación,room,84704,119,0,0,0
creer,believe,84624,119,0,0,0
pensando,thinking,84438,119,0,0,0
fueron,were,84181,119,0,0,0
dime,tell me,84079,119,0,0,0
trata,treats,83906,120,0,0,0
buscando,searching,83655,120,0,0,0
tuve,I had,83608,120,0,0,0
tampoco,neither,83595,120,0,0,0
amo,love,83156,121,0,0,0
joven,young,82919,121,0,0,0
podrías,could you,82328,122,0,0,0
sola,alone,82229,122,0,0,0
par,pair,81901,123,0,0,0
única,only,81808,123,0,0,0
hacen,do,81807,123,0,0,0
seguir,continue,81723,123,0,0,0
dr.,Dr.,81308,123,0,0,0
simplemente,simply,80350,125,0,0,0
dicen,They say,80310,125,0,0,0
medio,half,80278,125,0,0,0
puta,bitch,80176,125,0,0,0
saben,They know,79988,126,0,0,0
sentido,sense,79686,126,0,0,0
hagas,you do,79398,126,0,0,0
segura,safe,79393,126,0,0,0
esperar,wait,79115,127,0,0,0
lejos,far,79091,127,0,0,0
arma,weapon,78974,127,0,0,0
alto,high,78496,128,0,0,0
pequeña,small,78191,128,0,0,0
dólares,Dollars,77319,130,0,0,0
seis,six,77064,130,0,0,0
estaban,were,76916,131,0,0,0
seguridad,security,76807,131,0,0,0
maldita,damned,76765,131,0,0,0
estuvo,was,76639,131,0,0,0
preocupes,worry,76606,131,0,0,0
palabra,word,76589,131,0,0,0
esperando,expecting,76353,131,0,0,0
queda,is left over,76150,132,0,0,0
oficina,office,75697,133,0,0,0
matar,kill,75652,133,0,0,0
iré,I will go,75521,133,0,0,0
cama,bed,75441,133,0,0,0
además,besides,75259,133,0,0,0
último,last,75205,133,0,0,0
oído,ear,75123,134,0,0,0
habría,there would be,74848,134,0,0,0
estará,will be,74836,134,0,0,0
dio,gave,74745,134,0,0,0
recuerdo,memory,74344,135,0,0,0
siendo,being,74265,135,0,0,0
acerca,about,74051,136,0,0,0
tenga,have,73994,136,0,0,0
luz,light,73886,136,0,0,0
correcto,correct,73881,136,0,0,0
ud.,You.,73708,136,0,0,0
demonios,demons,73485,137,0,0,0
nuestras,ours,73354,137,0,0,0
verte,to see you,73227,137,0,0,0
dormir,sleep,73064,137,0,0,0
sitio,place,73036,137,0,0,0
ayudar,help,72837,138,0,0,0
conseguir,get,72697,138,0,0,0
di,gave,72555,138,0,0,0
marido,husband,72210,139,0,0,0
paz,peace,72000,139,0,0,0
idiota,moron,71856,140,0,0,0
plan,plan,71640,140,0,0,0
dado,given,71249,141,0,0,0
cuanto,how much,71197,141,0,0,0
peor,worse,70692,142,0,0,0
murió,died,70466,142,0,0,0
pueblo,town,70465,142,0,0,0
vivo,alive,70329,143,0,0,0
venido,I come,70151,143,0,0,0
john,John,69978,143,0,0,0
basta,Enough,69973,143,0,0,0
paso,passed,69865,144,0,0,0
deberíamos,we should,69574,144,0,0,0
música,music,69241,145,0,0,0
diga,Say,68941,146,0,0,0
minuto,minute,68878,146,0,0,0
anoche,last night,68870,146,0,0,0
llamar,call,68861,146,0,0,0
piensa,think,68552,146,0,0,0
país,country,68539,146,0,0,0
digas,you say,68227,147,0,0,0
rey,king,67803,148,0,0,0
perdón,sorry,67516,149,0,0,0
mucha,a lot,67426,149,0,0,0
falta,lack,67152,149,0,0,0
pienso,I think,67140,149,0,0,0
diablos,Devils,67119,149,0,0,0
perdido,lost,66882,150,0,0,0
niña,little girl,66672,150,0,0,0
señorita,Miss,66491,151,0,0,0
diez,ten,66429,151,0,0,0
lleva,carry,66407,151,0,0,0
hospital,hospital,66316,151,0,0,0
grandes,big,66186,152,0,0,0
maldito,damned,66025,152,0,0,0
otras,others,65924,152,0,0,0
llamado,called,65650,153,0,0,0
hacemos,we make,65535,153,0,0,0
llevar,carry,65446,153,0,0,0
fuego,fire,65442,153,0,0,0
aqui,here,65202,154,0,0,0
tuvo,had,65130,154,0,0,0
poner,put,64740,155,0,0,0
calle,street,64675,155,0,0,0
acaba,just,64600,155,0,0,0
prueba,proof,64593,155,0,0,0
increíble,incredible,64527,155,0,0,0
real,real,64511,156,0,0,0
libro,book,64445,156,0,0,0
orden,order,64437,156,0,0,0
semanas,weeks,64300,156,0,0,0
especial,special,64240,156,0,0,0
mía,mine,64132,156,0,0,0
café,coffee,63914,157,0,0,0
duro,hard,63800,157,0,0,0
empezar,begin,63463,158,0,0,0
afuera,outside,63387,158,0,0,0
queremos,we want,63319,158,0,0,0
perro,dog,63070,159,0,0,0
cielo,darling,62981,159,0,0,0
jack,Jack,62965,159,0,0,0
puesto,position,62949,159,0,0,0
viaje,journey,62667,160,0,0,0
detrás,behind,62621,160,0,0,0
cuarto,room,62590,160,0,0,0
querida,Dear,62549,160,0,0,0
haría,would do,62547,160,0,0,0
preguntas,questions,62505,160,0,0,0
piensas,You think,62433,161,0,0,0
querido,darling,62425,161,0,0,0
libre,free,62421,161,0,0,0
buscar,look for,62319,161,0,0,0
cual,which,62288,161,0,0,0
diré,I will say,62193,161,0,0,0
suena,sounds,62170,161,0,0,0
jugar,play,62132,161,0,0,0
cambio,change,62106,162,0,0,0
película,movie,61985,162,0,0,0
millones,millions,61876,162,0,0,0
habrá,there will be,61821,162,0,0,0
llamada,call,61791,162,0,0,0
resto,rest,61752,162,0,0,0
vemos,we see,61545,163,0,0,0
extraño,strange,61249,164,0,0,0
mala,bad,61177,164,0,0,0
presidente,president,61090,164,0,0,0
srta.,Ms.,60636,165,0,0,0
irme,Go,60622,165,0,0,0
ropa,clothes,60542,166,0,0,0
perder,lose,60378,166,0,0,0
vuelve,comes back,60172,167,0,0,0
agente,agent,60171,167,0,0,0
palabras,words,60090,167,0,0,0
información,information,60090,167,0,0,0
raro,queer,60086,167,0,0,0
hará,will do,59965,167,0,0,0
entiendes,you understand,59914,167,0,0,0
éste,this,59792,168,0,0,0
trabajando,working,59674,168,0,0,0
tratando,treating,59643,168,0,0,0
general,general,59593,168,0,0,0
trato,deal,59469,169,0,0,0
usar,wear,59267,169,0,0,0
perfecto,perfect,59208,169,0,0,0
derecho,right,59164,170,0,0,0
modo,mode,59041,170,0,0,0
ayer,yesterday,59013,170,0,0,0
conoces,you know,58941,170,0,0,0
demás,the rest,58811,171,0,0,0
quieras,You want,58704,171,0,0,0
podríamos,we could,58548,171,0,0,0
noticias,news,58530,171,0,0,0
asesino,killer,58507,171,0,0,0
encontrado,found,57581,174,0,0,0
control,control,57479,174,0,0,0
odio,hate,57427,175,0,0,0
frente,forehead,57371,175,0,0,0
sexo,sex,57281,175,0,0,0
decirle,Tell him,57135,176,0,0,0
estaré,I will be,57085,176,0,0,0
divertido,fun,56908,176,0,0,0
armas,weapons,56785,177,0,0,0
recuerdas,remember,56669,177,0,0,0
amiga,friend,56665,177,0,0,0
grupo,cluster,56638,177,0,0,0
asunto,affair,56622,177,0,0,0
acabo,just,56586,177,0,0,0
mensaje,message,56126,179,0,0,0
encima,on,56110,179,0,0,0
atención,attention,56092,179,0,0,0
diferente,different,56028,179,0,0,0
uh,UH,55996,179,0,0,0
cállate,be quiet,55856,180,0,0,0
daño,damage,55599,180,0,0,0
sucede,happens,55572,180,0,0,0
cambiar,change,55360,181,0,0,0
siguiente,following,55300,181,0,0,0
sino,but,55136,182,0,0,0
the,The,54966,182,0,0,0
seas,You are,54799,183,0,0,0
médico,doctor,54547,184,0,0,0
boca,mouth,54512,184,0,0,0
dejó,let,54435,184,0,0,0
error,mistake,54414,184,0,0,0
jamás,never,54158,185,0,0,0
largo,long,53833,186,0,0,0
pena,grief,53618,187,0,0,0
voz,voice,53574,187,0,0,0
futuro,future,53557,187,0,0,0
siente,Feel,53518,187,0,0,0
secreto,secret,53504,187,0,0,0
baño,bathroom,53455,188,0,0,0
mil,thousand,53364,188,0,0,0
decirte,tell you,53207,188,0,0,0
sam,Sam,53082,189,0,0,0
pensaba,thought,53018,189,0,0,0
novia,bride,52984,189,0,0,0
propia,own,52973,189,0,0,0
sueño,dream,52956,189,0,0,0
haz,beam,52344,192,0,0,0
fuerza,force,52316,192,0,0,0
deben,They must,52297,192,0,0,0
supone,It supposes,52250,192,0,0,0
estábamos,We were,52003,193,0,0,0
ambos,both,51916,193,0,0,0
ay,Oh,51890,193,0,0,0
estuve,I have been,51592,194,0,0,0
encontré,I found,51507,195,0,0,0
vuelto,turned,51505,195,0,0,0
dolor,pain,51283,195,0,0,0
dile,tell him,51271,196,0,0,0
encanta,loves,51240,196,0,0,0
edad,age,51163,196,0,0,0
darle,give him,51120,196,0,0,0
pie,foot,51066,196,0,0,0
negro,black,50987,197,0,0,0
ganar,gain,50970,197,0,0,0
york,York,50964,197,0,0,0
aire,air,50788,197,0,0,0
lamento,lament,50766,197,0,0,0
verlo,see him,50765,197,0,0,0
asesinato,murder,50759,198,0,0,0
vio,saw,50756,198,0,0,0
adónde,where to,50674,198,0,0,0
llegado,arrived,50534,198,0,0,0
disculpe,excuse me,50520,198,0,0,0
s,s,50469,199,0,0,0
cita,appointment,50399,199,0,0,0
estaría,It would,50270,199,0,0,0
fuiste,you were,50201,200,0,0,0
sistema,system,50050,200,0,0,0
gusto,taste,50039,200,0,0,0
pobre,poor,50019,200,0,0,0
negocio,business,49896,201,0,0,0
mente,mind,49842,201,0,0,0
tuyo,yours,49799,201,0,0,0
campo,field,49614,202,0,0,0
mire,Look,49575,202,0,0,0
situación,situation,49426,203,0,0,0
tras,after,49345,203,0,0,0
hotel,hotel,49177,204,0,0,0
vosotros,you,49111,204,0,0,0
funciona,works,48956,205,0,0,0
foto,photo,48915,205,0,0,0
abogado,lawyer,48914,205,0,0,0
loca,crazy,48859,205,0,0,0
propio,own,48844,205,0,0,0
alrededor,around,48767,206,0,0,0
próxima,next,48701,206,0,0,0
terminado,finished,48673,206,0,0,0
hablas,speak,48652,206,0,0,0
pagar,pay,48636,206,0,0,0
mató,killed,48583,206,0,0,0
llamo,called,48473,207,0,0,0
personal,staff,48419,207,0,0,0
sientes,you feel,48410,207,0,0,0
ocurre,occurs,48364,207,0,0,0
ésta,this,48338,207,0,0,0
recuerda,remember,48335,207,0,0,0
mitad,half,48317,207,0,0,0
quiera,want,48299,208,0,0,0
pelo,hair,48293,208,0,0,0
tenías,You had,48183,208,0,0,0
viste,dresses,47962,209,0,0,0
oficial,official,47960,209,0,0,0
llegó,arrive,47852,209,0,0,0
compañía,company,47842,210,0,0,0
relación,relationship,47824,210,0,0,0
conoce,known,47688,210,0,0,0
pase,happens,47622,210,0,0,0
montón,lot,47610,211,0,0,0
mejores,top,47509,211,0,0,0
creí,I believed,47494,211,0,0,0
cena,dinner,47357,212,0,0,0
sentir,feel,47337,212,0,0,0
través,through,47295,212,0,0,0
accidente,accident,47117,213,0,0,0
i,Yo,46981,213,0,0,0
ellas,they,46892,214,0,0,0
caja,box,46635,215,0,0,0
tranquilo,don't worry,46587,215,0,0,0
bonito,pretty,46554,215,0,0,0
eras,ages,46544,215,0,0,0
asi,So,46535,215,0,0,0
pudo,could,46533,215,0,0,0
